YYYY-MM,TOYOTA,OTHER,TOYOTA_SA,OTHER_SA
1980M01,175734,315111,200015.1,352054.3
1980M02,200479,377893,198443.2,363393.2
1980M03,200373,385236,168488.0,329570.1
1980M04,211636,404110,210572.7,416496.8
1980M05,208527,371930,217037.2,411574.1
1980M06,203901,420137,192241.1,395403.5
1980M07,220163,445572,201653.5,408963.7
1980M08,136050,314007,194817.4,403907.4
1980M09,195602,453079,188597.2,427344.3
1980M10,203471,438391,180867.0,424269.5
1980M11,174165,392136,160573.8,380224.5
1980M12,173183,417222,189977.6,421622.6
1981M01,165720,372395,190001.1,409338.3
1981M02,184871,372920,182835.2,358420.2
1981M03,211237,410234,179352.0,354568.1
1981M04,212052,416038,210988.7,428424.8
1981M05,194643,375044,203153.2,414688.1
1981M06,195608,441632,183948.1,416898.5
1981M07,194425,437094,175915.5,400485.7
1981M08,124535,284031,183302.4,373931.4
1981M09,191743,405911,184738.2,380176.3
1981M10,199385,410105,176781.0,395983.5
1981M11,191158,403811,177566.8,391899.5
1981M12,182794,396745,199588.6,401145.6
1982M01,149949,351605,174230.1,388548.3
1982M02,180530,379761,178494.2,365261.2
1982M03,215115,424649,183230.0,368983.1
1982M04,201327,402374,200263.7,414760.8
1982M05,195990,353883,204500.2,393527.1
1982M06,203206,426895,191546.1,402161.5
1982M07,211827,415941,193317.5,379332.7
1982M08,132978,296444,191745.4,386344.4
1982M09,200844,409860,193839.2,384125.3
1982M10,193181,388035,170577.0,373913.5
1982M11,197549,400839,183957.8,388927.5
1982M12,175757,374247,192551.6,378647.6
1983M01,165215,354243,189496.1,391186.3
1983M02,197258,380373,195222.2,365873.2
1983M03,230129,439605,198244.0,383939.1
1983M04,179633,407958,178569.7,420344.8
1983M05,206249,369247,214759.2,408891.1
1983M06,214804,421948,203144.1,397214.5
1983M07,221095,422157,202585.5,385548.7
1983M08,147904,321928,206671.4,411828.4
1983M09,212972,434530,205967.2,408795.3
1983M10,203765,380095,181161.0,365973.5
1983M11,213890,431277,200298.8,419365.5
1983M12,187839,407774,204633.6,412174.6
1984M01,168145,361956,192426.1,398899.3
1984M02,204048,404924,202012.2,390424.2
1984M03,225255,403560,193370.0,347894.1
1984M04,208884,382741,207820.7,395127.8
1984M05,224025,398126,232535.2,437770.1
1984M06,217404,413821,205744.1,389087.5
1984M07,211692,421955,193182.5,385346.7
1984M08,146362,326709,205129.4,416609.4
1984M09,184046,385184,177041.2,359449.3
1984M10,215784,392974,193180.0,378852.5
1984M11,216329,395958,202737.8,384046.5
1984M12,191159,372132,207953.6,376532.6
1985M01,194521,359490,218802.1,396433.3
1985M02,208769,406827,206733.2,392327.2
1985M03,226383,442793,194498.0,387127.1
1985M04,222696,436032,221632.7,448418.8
1985M05,226012,408890,234522.2,448534.1
1985M06,214918,430378,203258.1,405644.5
1985M07,238888,441194,220378.5,404585.7
1985M08,155618,349504,214385.4,439404.4
1985M09,218053,421418,211048.2,395683.3
1985M10,241071,476580,218467.0,462458.5
1985M11,223236,456312,209644.8,444400.5
1985M12,199119,448114,215913.6,452514.6
1986M01,211027,406094,235308.1,443037.3
1986M02,223419,425479,221383.2,410979.2
1986M03,230667,455857,198782.0,400191.1
1986M04,223717,454130,222653.7,466516.8
1986M05,225383,421548,233893.2,461192.1
1986M06,233840,452107,222180.1,427373.5
1986M07,255504,489490,236994.5,452881.7
1986M08,164487,327957,223254.4,417857.4
1986M09,238204,442070,231199.2,416335.3
1986M10,253152,433350,230548.0,419228.5
1986M11,213579,401155,199987.8,389243.5
1986M12,211045,416548,227839.6,420948.6
1987M01,195568,397673,219849.1,434616.3
1987M02,212297,438956,210261.2,424456.2
1987M03,235107,484933,203222.0,429267.1
1987M04,217118,430215,216054.7,442601.8
1987M05,199811,374769,208321.2,414413.1
1987M06,247364,447173,235704.1,422439.5
1987M07,262152,465672,243642.5,429063.7
1987M08,174202,346973,232969.4,436873.4
1987M09,249703,475882,242698.2,450147.3
1987M10,265374,456331,242770.0,442209.5
1987M11,231849,431317,218257.8,419405.5
1987M12,217524,433124,234318.6,437524.6
1988M01,208869,381818,233150.1,418761.3
1988M02,255155,437395,253119.2,422895.2
1988M03,283564,474376,251679.0,418710.1
