Date,GDP,GDPIMPR,LOGGDP,GrowthRate,li1,li2,T
1950Q1,94.3,NA,4.54648119,NA,0,0,0
1950Q2,95.2,1,4.555979942,0.009498752,0,0,1
1950Q3,97.663,1,4.581522777,0.025542835,3,1,2
1950Q4,99.728,1,4.60244648,0.020923703,4,2,3
1951Q1,100.445,1,4.609610314,0.007163834,2,1,4
1951Q2,100.406,0,4.609221966,-0.000388348,1,3,5
1951Q3,100.686,1,4.612006763,0.002784797,1,3,6
1951Q4,100.728,1,4.612423815,0.000417051,-1,2,7
1952Q1,100.673,0,4.611877641,-0.000546174,-3,4,8
1952Q2,100.596,0,4.611112495,-0.000765145,-4,4,9
1952Q3,101.513,1,4.620186869,0.009074374,-2,2,10
1952Q4,102.648,1,4.63130566,0.01111879,-4,1,11
1953Q1,103.792,1,4.642388896,0.011083237,-2,0,12
1953Q2,104.867,1,4.652692881,0.010303984,0,-1,13
1953Q3,105.212,1,4.655977362,0.003284482,0,0,14
1953Q4,105.167,0,4.655549563,-0.000427799,-1,1,15
1954Q1,104.8,0,4.652053772,-0.003495791,-2,3,16
1954Q2,106.646,1,4.669514938,0.017461166,-3,3,17
1954Q3,107.516,1,4.677639674,0.008124735,-4,3,18
1954Q4,108.784,1,4.689364265,0.011724591,-4,3,19
1955Q1,110.794,1,4.707672621,0.018308356,-4,2,20
1955Q2,113.314,1,4.730162726,0.022490105,-4,1,21
1955Q3,115.649,1,4.750559742,0.020397016,-3,2,22
1955Q4,117.614,1,4.767408076,0.016848334,-1,2,23
1956Q1,119.183,1,4.780660127,0.013252051,1,2,24
1956Q2,119.083,0,4.779820729,-0.000839398,0,3,25
1956Q3,118.72,0,4.776767779,-0.00305295,3,2,26
1956Q4,118.04,0,4.77102355,-0.005744229,3,1,27
1957Q1,119.428,1,4.782713679,0.011690129,3,1,28
1957Q2,119.426,0,4.782696933,-1.67466E-05,3,2,29
1957Q3,119.136,0,4.780265698,-0.002431235,3,2,30
1957Q4,119.274,1,4.781423367,0.00115767,3,2,31
1958Q1,119.385,1,4.782353565,0.000930198,3,1,32
1958Q2,119.608,1,4.784219729,0.001866164,2,0,33
1958Q3,119.5,0,4.783316371,-0.000903358,1,-2,34
1958Q4,119.461,0,4.782989958,-0.000326413,0,-4,35
1959Q1,119.066,0,4.779677961,-0.003311997,0,-6,36
1959Q2,118.917,0,4.778425771,-0.00125219,0,-6,37
1959Q3,119.47,1,4.783065294,0.004639523,1,-3,38
1959Q4,119.619,1,4.784311692,0.001246398,2,0,39
1960Q1,119.752,1,4.785422938,0.001111246,1,3,40
1960Q2,119.767,1,4.785548189,0.000125251,3,4,41
1960Q3,120.393,1,4.790761392,0.005213203,4,3,42
1960Q4,119.827,0,4.786049036,-0.004712356,4,3,43
1961Q1,119.245,0,4.7811802,-0.004868836,3,2,44
1961Q2,118.75,0,4.777020443,-0.004159757,3,1,45
1961Q3,118.384,0,4.773933578,-0.003086865,3,-2,46
1961Q4,118.436,1,4.77437273,0.000439152,1,-4,47
1962Q1,119.053,1,4.779568772,0.005196042,-1,-5,48
1962Q2,119.346,1,4.782026837,0.002458065,-2,-6,49
1962Q3,119.211,0,4.780895032,-0.001131805,-1,-7,50
1962Q4,118.671,0,4.776354958,-0.004540074,1,-6,51
1963Q1,118.602,0,4.77577335,-0.000581609,2,-6,52
1963Q2,118.603,1,4.775781781,8.43153E-06,1,-6,53
1963Q3,118.134,0,4.771819573,-0.003962208,2,-5,54
1963Q4,117.838,0,4.7693108,-0.002508774,1,-3,55
1964Q1,118.168,1,4.772107341,0.002796541,1,0,56
1964Q2,117.635,0,4.76758661,-0.004520731,1,3,57
1964Q3,117.614,0,4.767408076,-0.000178534,1,4,58
1964Q4,117.831,1,4.769251394,0.001843318,1,3,59
1965Q1,117.854,1,4.76944657,0.000195176,0,3,60
1965Q2,117.4,0,4.765586907,-0.003859663,-1,1,61
1965Q3,117.2,0,4.763881877,-0.00170503,-2,-2,62
1965Q4,119.218,1,4.78095375,0.017071873,-1,-4,63
1966Q1,120.292,1,4.78992212,0.00896837,0,-5,64
1966Q2,120.781,1,4.793978988,0.004056868,0,-7,65
1966Q3,121.337,1,4.798571798,0.00459281,1,-9,66
1966Q4,121.944,1,4.803561923,0.004990125,0,-8,67
1967Q1,122.318,1,4.806624211,0.003062288,0,-6,68
1967Q2,123.06,1,4.812672041,0.00604783,2,-5,69
1967Q3,123.142,1,4.813338161,0.00066612,0,-3,70
1967Q4,123.716,1,4.817988616,0.004650455,-2,-1,71
1968Q1,124.483,1,4.82416916,0.006180544,-3,2,72
1968Q2,124.718,1,4.826055189,0.001886028,-3,2,73
1968Q3,125.31,1,4.830790667,0.004735478,-2,2,74
1968Q4,126.33,1,4.838897531,0.008106864,-1,1,75
1969Q1,126.653,1,4.841451063,0.002553533,-1,-1,76
1969Q2,127.065,1,4.844698767,0.003247703,2,-3,77
1969Q3,127.419,1,4.847480869,0.002782102,4,-4,78
1969Q4,127.85,1,4.850857702,0.003376833,3,-6,79
1970Q1,127.276,0,4.846357957,-0.004499745,1,-8,80
1970Q2,126.952,0,4.843809062,-0.002548894,0,-10,81
1970Q3,126.994,1,4.844139841,0.000330779,-1,-11,82
1970Q4,127.019,1,4.844336682,0.00019684,-1,-11,83
1971Q1,127.084,1,4.844848285,0.000511604,1,-11,84
1971Q2,128.42,1,4.855306142,0.010457857,0,-10,85
1971Q3,130.187,1,4.868971878,0.013665736,-2,-8,86
1971Q4,132.473,1,4.886378851,0.017406973,0,-5,87
1972Q1,134.277,1,4.89990483,0.013525979,2,-2,88
1972Q2,134.154,0,4.898988394,-0.000916437,4,-1,89
1972Q3,133.907,0,4.897145529,-0.001842865,3,-1,90
1972Q4,133.269,0,4.892369642,-0.004775887,3,0,91
1973Q1,132.834,0,4.889100228,-0.003269414,2,2,92
1973Q2,132.749,0,4.888460127,-0.000640101,0,3,93
1973Q3,132.565,0,4.887073091,-0.001387036,-2,3,94
1973Q4,131.631,0,4.880002553,-0.007070538,-3,3,95
1974Q1,130.866,0,4.874173899,-0.005828655,-4,4,96
1974Q2,130.625,0,4.872330623,-0.001843276,-2,3,97
1974Q3,130.443,0,4.87093635,-0.001394273,-3,3,98
1974Q4,130.356,0,4.870269169,-0.00066718,-3,2,99
1975Q1,131.422,1,4.87841352,0.00814435,-3,3,100
1975Q2,132.848,1,4.889205618,0.010792098,-1,3,101
1975Q3,133.439,1,4.893644445,0.004438827,1,1,102
1975Q4,133.189,0,4.891769172,-0.001875272,2,0,103
1976Q1,132.842,0,4.889160452,-0.00260872,3,0,104
1976Q2,133.215,1,4.891964364,0.002803912,2,0,105
1976Q3,133.503,1,4.894123949,0.002159585,0,-1,106
1976Q4,133.673,1,4.895396519,0.00127257,-3,-1,107
1977Q1,133.589,0,4.894767922,-0.000628597,-4,1,108
1977Q2,133.2,0,4.891851758,-0.002916164,-4,3,109
1977Q3,134.86,1,4.904237203,0.012385445,-3,4,110
1977Q4,136.589,1,4.916976417,0.012739214,-3,4,111
1978Q1,137.842,1,4.926108102,0.009131685,-1,4,112
1978Q2,138.742,1,4.932616093,0.006507992,-2,5,113
1978Q3,140.014,1,4.941742418,0.009126324,-2,4,114
